session_uid,procedure_slug,pupil_baseline_mm_eye0,pupil_baseline_mm_eye1,pupil_baseline_mm_mean
lenovo__211__centrifuge,centrifuge,,,
lenovo__222__column_flushing,column_flushing,,,
lenovo__223__pressure_testing,pressure_testing,4.1236535077831125,3.79198788594014,3.957820696861626
lenovo__231__centrifuge,centrifuge,3.19452045369427,3.1411480147463906,3.1678342342203303
lenovo__232__column_flushing,column_flushing,2.813731356028784,3.4481487293352764,3.13094004268203
lenovo__233__pressure_testing,pressure_testing,3.2826952532602927,3.5964701390614673,3.4395826961608797
lenovo__241__centrifuge,centrifuge,2.6748733277784753,2.881357186466045,2.77811525712226
lenovo__242__column_flushing,column_flushing,2.589083809262821,3.1255481502556983,2.8573159797592593
lenovo__243__pressure_testing,pressure_testing,2.6495025887751544,3.521522339191994,3.0855124639835743
lenovo__252__column_flushing,column_flushing,3.9147573196935275,2.3775475548381437,3.146152437265836
zahabi__311__centrifuge,centrifuge,4.2158588169075895,6.300741515339891,5.258300166123741
zahabi__321__centrifuge,centrifuge,,,
zahabi__331__centrifuge,centrifuge,1.3606967398222145,1.7524247056735245,1.5565607227478695
zahabi__341__centrifuge,centrifuge,2.1626773489465063,1.4593604704542498,1.811018909700378
zahabi__351__centrifuge,centrifuge,,,
zahabi__352__column_flushing,column_flushing,,,
zahabi__353__pressure_testing,pressure_testing,3.0971979557868816,3.4637928626541066,3.280495409220494
zahabi__361__centrifuge,centrifuge,,,
zahabi__362__column_flushing,column_flushing,3.195572693724823,3.077567587252907,3.136570140488865
loaner__312__column_flushing,column_flushing,,,
loaner__332__column_flushing,column_flushing,2.190391902463938,2.157687136864572,2.174039519664255
loaner__333__pressure_testing,pressure_testing,1.9981720861578027,2.3654900163365347,2.1818310512471686
loaner__342__column_flushing,column_flushing,2.043064317598177,1.5628248938809175,1.802944605739547
loaner__S001T001__unknown,,,,
