session_uid,procedure_slug,n_steps,ui_duration_s,pupil_duration_s,offset_pupil_to_first_step_s,offset_last_step_to_pupil_end_s,first_step_synced_t,last_step_synced_t
lenovo__211__centrifuge,centrifuge,8,1757.0,1817.6,37.6,23.0,49897.876,51654.876
lenovo__222__column_flushing,column_flushing,14,387.0,491.7,82.0,22.7,46076.575,46463.575
lenovo__223__pressure_testing,pressure_testing,14,710.0,759.5,24.0,25.5,48282.085,48992.085
lenovo__231__centrifuge,centrifuge,8,830.0,860.9,16.0,15.0,63034.615,63864.615
lenovo__232__column_flushing,column_flushing,14,382.0,427.1,21.5,23.6,58397.299,58779.299
lenovo__233__pressure_testing,pressure_testing,14,414.0,454.0,21.4,18.6,59490.01,59904.01
lenovo__241__centrifuge,centrifuge,8,906.0,950.2,28.8,15.4,63985.03,64891.03
lenovo__242__column_flushing,column_flushing,14,317.0,353.3,17.7,18.6,58953.212,59270.212
lenovo__243__pressure_testing,pressure_testing,14,332.0,368.6,17.8,18.8,59988.475,60320.475
lenovo__252__column_flushing,column_flushing,14,397.0,444.5,24.9,22.6,65542.107,65939.107
zahabi__311__centrifuge,centrifuge,8,1618.0,1639.8,13.9,7.8,2500.609,4118.609
zahabi__321__centrifuge,centrifuge,8,1459.0,1480.9,11.7,10.1,4599.353,6058.353
zahabi__331__centrifuge,centrifuge,8,2438.0,2459.1,8.2,12.9,15378.84,17816.84
zahabi__341__centrifuge,centrifuge,8,2145.0,2166.2,16.0,5.2,17970.323,20115.323
zahabi__351__centrifuge,centrifuge,8,956.0,966.7,7.6,3.1,23286.837,24242.837
zahabi__352__column_flushing,column_flushing,14,265.0,291.3,18.5,7.8,20775.205,21040.205
zahabi__353__pressure_testing,pressure_testing,14,736.0,759.5,14.6,8.9,21866.265,22602.265
zahabi__361__centrifuge,centrifuge,8,886.0,905.4,14.4,5.0,24350.895,25236.895
zahabi__362__column_flushing,column_flushing,14,217.0,238.3,12.3,9.0,21107.096,21324.096
loaner__312__column_flushing,column_flushing,14,413.0,440.5,14.5,13.0,6015.969,6428.969
loaner__332__column_flushing,column_flushing,14,363.0,383.0,10.6,9.4,9249.966,9612.966
loaner__333__pressure_testing,pressure_testing,14,484.0,502.9,8.5,10.3,10250.878,10734.878
loaner__342__column_flushing,column_flushing,14,264.0,280.9,5.9,11.0,9737.517,10001.517
