feature,importance_mean,importance_std
blink_rate_per_min_zproc,0.16021753099017932,0.0025836731130917103
pupil_pcps_mean,0.10066500262510684,0.0018248347618168368
blink_rate_per_min_zp,0.07958990551514872,0.0024611571527590197
fixation_dispersion_mean_zp,0.07432743560347807,0.0018547791755725593
fixation_dur_mean_ms_zp,0.06351621314890918,0.0015932069818584
fixation_dispersion_mean_zproc,0.05644065709461939,0.002041743976950527
fixation_dur_mean_ms,0.05571938713496675,0.0012562256898185113
fixation_dispersion_mean,0.05321498045964457,0.0023027228784073157
fixation_dur_mean_ms_zproc,0.046367372518405114,0.0011802295959316537
pupil_pcps_mean_zproc,0.046191970826249575,0.0010971684693340236
pupil_pcps_mean_zp,0.04351746063492431,0.0013113889934202603
blink_rate_per_min,0.03859070299176639,0.0012411018794651842
pupil_diam_slope_zp,0.007346301846863657,0.0008575791498372588
pupil_diam_slope_zproc,0.003712695722135728,0.0005009165440083581
pupil_diam_slope,0.0024771617397147507,0.0006631484713510066
