participant_id,n_windows,accuracy,balanced_accuracy,macro_f1,cohen_kappa
P17,1009,0.5213082259663032,0.4932367908995659,0.45718303439220476,0.18074766166611744
P11,1411,0.38341601700921335,0.488421499594276,0.31829683145439325,0.050581219981902126
P14,1486,0.4488559892328398,0.47657585708421824,0.40443464185499023,0.17184121026207733
P10,1035,0.39516908212560387,0.42835370021050334,0.327598242763435,0.12050366304095517
P16,1817,0.5184369840396258,0.39681192227881534,0.3925720164950875,0.10163611141718165
P8,1936,0.6415289256198347,0.38672589041349165,0.3733251241832288,0.13785334733899846
P15,1374,0.3158660844250364,0.3851285064073857,0.2910146025210321,0.07058076828420556
P13,2307,0.5808409189423493,0.32626947489881103,0.3142537934855519,-0.02080953897515858
P9,1735,0.27896253602305476,0.3211419540344376,0.18552999731940786,-0.009659397502930656
P12,3132,0.334610472541507,0.2420428376884108,0.21028210372816716,-0.050875231863227954
P18,357,0.14565826330532214,0.2199138114492445,0.1431690995461334,-0.03944517102135503
